sourceSlug,title,category,route,risks,duplicates
"5G0oeY","八爪鱼登录/登陆时提示“超时，请稍后重试”","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/5G0oeY","contact",""
"BPM4CC","安装八爪鱼，安装成功后无法启动怎么办？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/BPM4CC","version|external-link",""
"1lkV5l","如何下载8.4.6版本？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/1lkV5l","version|external-link",""
"hZkNmV","八爪鱼有苹果IOS系统/mac版本的安装包吗？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/hZkNmV","version|external-link",""
"e9f6z6","八爪鱼软件怎么下载","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/e9f6z6","external-link",""
"xrYRTi","只有客户端吗？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/xrYRTi","version|external-link",""
"ZsBYeG","八爪鱼有手机APP吗?","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/ZsBYeG","version",""
"DdSwKt","客户端下载不下来啊？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/DdSwKt","",""
"5Chmj8","windows10系统可以安装八爪鱼吗？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/5Chmj8","version|external-link",""
"tVYjMI","八爪鱼有手机APP吗","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/tVYjMI","external-link",""
"BGGMaF","安装八爪鱼采集器常见问题汇总","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/BGGMaF","version",""
"pzywZg","安装软件提示要购买","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/pzywZg","outdated",""
"ZxdEeE","版本充值后账号未升级？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/ZxdEeE","price|contact|policy|version",""
"WY4VUg","客户端数是什么？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/WY4VUg","price|policy|external-link",""
"F009KX","如何查看错误日志/Log日志？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/F009KX","",""
"sQUedU","登录八爪鱼，提示无网络链接，请检查是否连上互联网？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/sQUedU","contact",""
"wingOz","有32位的操作系统吗？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/wingOz","",""
"Vpju1S","如何切换账号","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/Vpju1S","policy",""
"eg0vja","如何下载八爪鱼7版本并安装？","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/eg0vja","version|external-link",""
"guan-wang-xia-zai-an-zhuang-ke-hu-duan-hou-da-kai-ke-hu-duan-ti-shi-yao-sheng-ji-dan-shi-mei-you-sheng-ji-an-niu-dao-zhi-yi-zhi-ka-zai-ti-shi-sheng-ji-jie-mian","官网下载安装客户端后，打开客户端提示要升级，但是没有升级按钮导致一直卡在提示升级界面","操作类问题 / 安装登录","/zh/knowledge-base/faq/operation/install-login/guan-wang-xia-zai-an-zhuang-ke-hu-duan-hou-da-kai-ke-hu-duan-ti-shi-yao-sheng-ji-dan-shi-mei-you-sheng-ji-an-niu-dao-zhi-yi-zhi-ka-zai-ti-shi-sheng-ji-jie-mian","",""
"4ImDBo","无法采集数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/4ImDBo","",""
"QJ1XNc","如何使用相对XPATH采集数据/什么情况下会出现相对XPATH？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/QJ1XNc","external-link",""
"nJ2Gig","经常白屏显示about：black","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/nJ2Gig","",""
"3QI8G3","翻页采集数据不全怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/3QI8G3","",""
"VyO4jt","什么是XPATH/如何学习xpath？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/VyO4jt","external-link",""
"EmI2zO","网页在八爪鱼中打不开怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/EmI2zO","version",""
"3kcCr2","如何利用xpath中的position()和last()去掉option标签中的无用元素？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/3kcCr2","external-link",""
"cz1Vjm","网页一直在加载或加载很久怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/cz1Vjm","",""
"diU6lp","单个元素 / 固定元素列表 / 不固定元素列表是什么？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/diU6lp","external-link",""
"1ScjrC","八爪鱼可以一起采集，然后每个标题分别导出嘛？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/1ScjrC","","Go81xR"
"yDtLV7","如何既采集列表，又采集详情中的数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/yDtLV7","",""
"byp4Cn","点击元素采集的时候，下面数据预览是空的","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/byp4Cn","",""
"I1QzNn","需要翻页的网页如何采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/I1QzNn","",""
"pu6msS","提示任务版本不一致？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/pu6msS","version",""
"tkTJSk","如何设置循环翻页的次数？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/tkTJSk","","TwskpT"
"87M5Ly","八爪鱼可以将采集到的数据发布到网站吗？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/87M5Ly","external-link",""
"pxSm8V","如何下载最新版本八爪鱼？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/pxSm8V","version|external-link",""
"hjnA7G","本地加速同时任务数/云采集加速","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/hjnA7G","",""
"deQSAS","代理IP如何使用？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/deQSAS","external-link",""
"BX0Zh9","可以采集图片吗/如何采集图片？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/BX0Zh9","external-link",""
"bjUqai","点击循环列表不能返回上一级网页，并显示找不到匹配元素，这是为什么呢？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/bjUqai","",""
"W16yky","怎么清除cookie","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/W16yky","",""
"rcyyVf","局部滚动","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/rcyyVf","external-link",""
"U3zyHK","如何设置翻页次数？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/U3zyHK","",""
"Go81xR","八爪鱼可以一起采集，然后每个标题分别导出嘛？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/Go81xR","","1ScjrC"
"jAmZnK","网站本身有页码限制，可以突破限制？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/jAmZnK","",""
"PwuboH","怎么切换浏览器?","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/PwuboH","",""
"cKfkbX","您好，自定义的手动输入网址只能采取1万条数据吗？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/cKfkbX","",""
"g7IA2I","数据预览怎么展开？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/g7IA2I","",""
"CmLTYG","需要登录账号的网站如何采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/CmLTYG","policy|external-link",""
"WfnYh3","可以设置几个本地定时采集任务数？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/WfnYh3","price|version",""
"w7Q3zR","点击元素跳转第二页，配置提取数据的时候，就会白屏卡住了，这是咋回事呀","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/w7Q3zR","",""
"nJlalj","采集过程中网站加载失败怎么重新加载","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/nJlalj","external-link",""
"ZLdrd4","为什么设置了cookie登录，启动采集后还是提示需要登录？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/ZLdrd4","",""
